dir,object,section,size_hex,size_dec
ex2_no_opt,gic_kernel_impl.o,.rodata.str1.4,0x0000007f,127
ex2_no_opt,gic_kernel_impl.o,.debug_info,0x0000115f,4447
ex2_no_opt,gic_kernel_impl.o,.debug_abbrev,0x00000317,791
ex2_no_opt,gic_kernel_impl.o,.debug_loc,0x00000b9c,2972
ex2_no_opt,gic_kernel_impl.o,.debug_aranges,0x00000020,32
ex2_no_opt,gic_kernel_impl.o,.debug_ranges,0x00000338,824
ex2_no_opt,gic_kernel_impl.o,.debug_line,0x000008e2,2274
ex2_no_opt,gic_kernel_impl.o,.debug_str,0x000005f1,1521
ex2_no_opt,gic_kernel_impl.o,.comment,0x00000034,52
ex2_no_opt,gic_kernel_impl.o,.debug_frame,0x00000080,128
ex2_no_opt,gic_kernel_impl.o,.ARM.attributes,0x00000033,51
ex2_no_opt,pl310.o,.text,0x0000012c,300
ex2_no_opt,pl310.o,.data,0x00000000,0
ex2_no_opt,pl310.o,.bss,0x00000000,0
ex2_no_opt,pl310.o,.debug_info,0x00000a1a,2586
ex2_no_opt,pl310.o,.debug_abbrev,0x000001b2,434
ex2_no_opt,pl310.o,.debug_loc,0x000007cc,1996
ex2_no_opt,pl310.o,.debug_aranges,0x00000020,32
ex2_no_opt,pl310.o,.debug_ranges,0x000002f0,752
ex2_no_opt,pl310.o,.debug_line,0x0000054b,1355
ex2_no_opt,pl310.o,.debug_str,0x00000265,613
ex2_no_opt,pl310.o,.comment,0x00000034,52
ex2_no_opt,pl310.o,.debug_frame,0x00000050,80
ex2_no_opt,pl310.o,.ARM.attributes,0x00000033,51
ex2_no_opt,mpcore_timer.o,.text,0x00000090,144
ex2_no_opt,mpcore_timer.o,.data,0x00000000,0
ex2_no_opt,mpcore_timer.o,.bss,0x00000000,0
ex2_no_opt,mpcore_timer.o,.debug_info,0x00000463,1123
ex2_no_opt,mpcore_timer.o,.debug_abbrev,0x00000182,386
ex2_no_opt,mpcore_timer.o,.debug_loc,0x00000268,616
ex2_no_opt,mpcore_timer.o,.debug_aranges,0x00000020,32
ex2_no_opt,mpcore_timer.o,.debug_ranges,0x000000a0,160
ex2_no_opt,mpcore_timer.o,.debug_line,0x0000024f,591
ex2_no_opt,mpcore_timer.o,.debug_str,0x00000227,551
ex2_no_opt,mpcore_timer.o,.comment,0x00000034,52
ex2_no_opt,mpcore_timer.o,.debug_frame,0x00000040,64
ex2_no_opt,mpcore_timer.o,.ARM.attributes,0x00000033,51
ex2_no_opt,core_kernel_impl.o,.text,0x000004f4,1268
ex2_no_opt,core_kernel_impl.o,.data,0x00000000,0
ex2_no_opt,core_kernel_impl.o,.bss,0x00004010,16400
ex2_no_opt,core_kernel_impl.o,.rodata.str1.4,0x00000301,769
ex2_no_opt,core_kernel_impl.o,.rodata,0x0000003c,60
ex2_no_opt,core_kernel_impl.o,.debug_info,0x00001684,5764
ex2_no_opt,core_kernel_impl.o,.debug_abbrev,0x000004c5,1221
ex2_no_opt,core_kernel_impl.o,.debug_loc,0x00000af7,2807
ex2_no_opt,core_kernel_impl.o,.debug_aranges,0x00000020,32
ex2_no_opt,core_kernel_impl.o,.debug_ranges,0x00000128,296
